AS, Prefix, Max Length, Announced/Not Announced, Organization, RIR
16509,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
22773,98.160.0.0/11,11,Yes,Cox Communications Inc.,arin
237,35.0.0.0/10,10,Yes,University of Michigan,arin
16509,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
7922,184.112.0.0/12,12,Yes,Comcast Cable Communications  LLC,arin
16509,98.80.0.0/12,24,No,Amazon.com  Inc.,arin
8987,54.192.0.0/12,24,Yes,Amazon.com  Inc.,arin
21928,172.32.0.0/11,24,Yes,T-Mobile USA  Inc.,arin
16509,3.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
786,87.32.0.0/12,24,Yes,ORG-HA8-RIPE,ripe
1221,1.128.0.0/11,11,Yes,ORG-TC6-AP,apnic
1221,58.160.0.0/12,12,Yes,ORG-TC6-AP,apnic
1221,101.160.0.0/11,11,Yes,ORG-TC6-AP,apnic
1221,121.208.0.0/12,12,Yes,ORG-TC6-AP,apnic
1221,124.176.0.0/12,12,Yes,ORG-TC6-AP,apnic
8987,35.112.0.0/12,24,No,Amazon Technologies Inc.,arin
7922,74.144.0.0/12,12,Yes,Comcast Cable Communications  LLC,arin
8987,35.160.0.0/12,24,Yes,Amazon.com  Inc.,arin
8987,35.112.0.0/12,24,No,Amazon Technologies Inc.,arin
8987,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
16509,3.128.0.0/10,24,Yes,Amazon Technologies Inc.,arin
8987,44.192.0.0/10,24,Yes,Amazon Data Services NoVa,arin
16509,3.192.0.0/10,24,Yes,Amazon Technologies Inc.,arin
8075,4.176.0.0/12,12,Yes,Microsoft Corporation,arin
8987,52.0.0.0/11,24,Yes,Amazon Technologies Inc.,arin
8987,52.32.0.0/11,24,Yes,Amazon Technologies Inc.,arin
45595,39.32.0.0/11,15,Yes,ORG-PTCL1-AP,apnic
45595,182.176.0.0/12,15,Yes,ORG-PTCL1-AP,apnic
16509,52.64.0.0/12,24,Yes,Amazon Technologies Inc.,arin
7922,76.128.0.0/11,11,Yes,Comcast Cable Communications  LLC,arin
3320,217.224.0.0/11,11,Yes,ORG-DTAG1-RIPE,ripe
3320,80.128.0.0/11,11,Yes,ORG-DTAG1-RIPE,ripe
3320,217.80.0.0/12,12,Yes,ORG-DTAG1-RIPE,ripe
3320,46.80.0.0/12,12,Yes,ORG-DTAG1-RIPE,ripe
3320,93.192.0.0/10,10,Yes,ORG-DTAG1-RIPE,ripe
3320,84.128.0.0/10,10,Yes,ORG-DTAG1-RIPE,ripe
3320,87.128.0.0/10,10,Yes,ORG-DTAG1-RIPE,ripe
3320,79.192.0.0/10,10,Yes,ORG-DTAG1-RIPE,ripe
3320,91.0.0.0/10,10,Yes,ORG-DTAG1-RIPE,ripe
3320,80.128.0.0/12,12,Yes,ORG-DTAG1-RIPE,ripe
8075,4.144.0.0/12,12,Yes,Microsoft Corporation,arin
